30.1383 	EXP 	WebsiteImg: autoDraw = False
30.1383 	EXP 	RatingBlau: autoDraw = True
32.5220 	DATA 	Keypress: c
32.5238 	DATA 	RatingScale RatingBlau: (key single-click) rating=1
32.5238 	DATA 	RatingScale RatingBlau: rating RT=2.402
32.5239 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (1, 2.402)]
32.5551 	EXP 	WebsiteImg: autoDraw = False
32.5551 	EXP 	Frage: autoDraw = False
32.5551 	EXP 	RatingBlau: autoDraw = False
32.5551 	EXP 	FixationCross: autoDraw = True
36.7890 	EXP 	New trial (rep=0, index=2): OrderedDict([('marker', 17), ('half', 'VI'), ('image', 'Stimuli/VI_noonouri.png'), ('question', 'I perceived the influencer as eerie.'), ('construct', 'uncanny')])
36.8785 	EXP 	RatingScale RatingBlau: reset()
36.9718 	EXP 	FixationCross: autoDraw = False
36.9718 	EXP 	FixationCross: autoDraw = False
36.9718 	EXP 	WebsiteImg: image = 'Stimuli/VI_noonouri.png'
36.9718 	EXP 	Frage: text = 'I perceived the influencer as eerie.'
36.9718 	EXP 	WebsiteImg: autoDraw = True
38.8717 	EXP 	Frage: autoDraw = True
38.9049 	EXP 	RatingBlau: autoDraw = True
38.9714 	EXP 	WebsiteImg: autoDraw = False
43.5385 	DATA 	Keypress: n
43.5404 	DATA 	RatingScale RatingBlau: (key single-click) rating=4
43.5404 	DATA 	RatingScale RatingBlau: rating RT=4.668
43.5405 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (4, 4.668)]
43.5717 	EXP 	WebsiteImg: autoDraw = False
43.5717 	EXP 	Frage: autoDraw = False
43.5717 	EXP 	RatingBlau: autoDraw = False
43.5717 	EXP 	FixationCross: autoDraw = True
47.8057 	EXP 	New trial (rep=0, index=3): OrderedDict([('marker', 19), ('half', 'VI'), ('image', 'Stimuli/VI_shudu.gram.png'), ('question', 'The shown influencer is a human.'), ('construct', 'human')])
47.8955 	EXP 	RatingScale RatingBlau: reset()
47.9885 	EXP 	FixationCross: autoDraw = False
47.9885 	EXP 	FixationCross: autoDraw = False
47.9885 	EXP 	WebsiteImg: image = 'Stimuli/VI_shudu.gram.png'
47.9885 	EXP 	Frage: text = 'The shown influencer is a human.'
47.9885 	EXP 	WebsiteImg: autoDraw = True
49.8883 	EXP 	Frage: autoDraw = True
49.9049 	EXP 	RatingBlau: autoDraw = True
49.9882 	EXP 	WebsiteImg: autoDraw = False
53.2554 	DATA 	Keypress: n
53.2573 	DATA 	RatingScale RatingBlau: (key single-click) rating=4
53.2573 	DATA 	RatingScale RatingBlau: rating RT=3.369
53.2573 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (4, 3.368)]
53.2882 	EXP 	WebsiteImg: autoDraw = False
53.2882 	EXP 	Frage: autoDraw = False
53.2882 	EXP 	RatingBlau: autoDraw = False
53.2882 	EXP 	FixationCross: autoDraw = True
56.7721 	EXP 	New trial (rep=0, index=4): OrderedDict([('marker', 3), ('half', 'HI'), ('image', 'Stimuli/HI_emilycanham.png'), ('question', 'I would follow brand recommendations from the shown influencer.'), ('construct', 'use')])
56.8717 	EXP 	RatingScale RatingBlau: reset()
56.9554 	EXP 	FixationCross: autoDraw = False
56.9554 	EXP 	FixationCross: autoDraw = False
56.9554 	EXP 	WebsiteImg: image = 'Stimuli/HI_emilycanham.png'
56.9554 	EXP 	Frage: text = 'I would follow brand recommendations from the shown influencer.'
56.9554 	EXP 	WebsiteImg: autoDraw = True
58.8550 	EXP 	Frage: autoDraw = True
58.8715 	EXP 	RatingBlau: autoDraw = True
58.9550 	EXP 	WebsiteImg: autoDraw = False
63.7718 	DATA 	Keypress: v
63.7737 	DATA 	RatingScale RatingBlau: (key single-click) rating=2
63.7737 	DATA 	RatingScale RatingBlau: rating RT=4.918
63.7737 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (2, 4.918)]
63.8050 	EXP 	WebsiteImg: autoDraw = False
63.8050 	EXP 	Frage: autoDraw = False
63.8050 	EXP 	RatingBlau: autoDraw = False
63.8050 	EXP 	FixationCross: autoDraw = True
67.2890 	EXP 	New trial (rep=0, index=5): OrderedDict([('marker', 12), ('half', 'VI'), ('image', 'Stimuli/VI_iamxalara.png'), ('question', 'I perceived the influencer as eerie.'), ('construct', 'uncanny')])
67.3841 	EXP 	RatingScale RatingBlau: reset()
67.4716 	EXP 	FixationCross: autoDraw = False
67.4716 	EXP 	FixationCross: autoDraw = False
67.4716 	EXP 	WebsiteImg: image = 'Stimuli/VI_iamxalara.png'
67.4716 	EXP 	Frage: text = 'I perceived the influencer as eerie.'
67.4716 	EXP 	WebsiteImg: autoDraw = True
69.3883 	EXP 	Frage: autoDraw = True
69.4047 	EXP 	RatingBlau: autoDraw = True
69.4715 	EXP 	WebsiteImg: autoDraw = False
72.6551 	DATA 	Keypress: n
72.6569 	DATA 	RatingScale RatingBlau: (key single-click) rating=4
72.6569 	DATA 	RatingScale RatingBlau: rating RT=3.268
72.6570 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (4, 3.268)]
72.6882 	EXP 	WebsiteImg: autoDraw = False
72.6882 	EXP 	Frage: autoDraw = False
72.6882 	EXP 	RatingBlau: autoDraw = False
72.6882 	EXP 	FixationCross: autoDraw = True
76.9223 	EXP 	New trial (rep=0, index=6): OrderedDict([('marker', 15), ('half', 'VI'), ('image', 'Stimuli/VI_lilmiquela.png'), ('question', 'I would follow brand recommendations from the shown influencer.'), ('construct', 'use')])
77.0251 	EXP 	RatingScale RatingBlau: reset()
77.1048 	EXP 	FixationCross: autoDraw = False
77.1048 	EXP 	FixationCross: autoDraw = False
77.1048 	EXP 	WebsiteImg: image = 'Stimuli/VI_lilmiquela.png'
77.1048 	EXP 	Frage: text = 'I would follow brand recommendations from the shown influencer.'
77.1048 	EXP 	WebsiteImg: autoDraw = True
79.0216 	EXP 	Frage: autoDraw = True
79.0383 	EXP 	RatingBlau: autoDraw = True
79.1048 	EXP 	WebsiteImg: autoDraw = False
82.0051 	DATA 	Keypress: c
82.0069 	DATA 	RatingScale RatingBlau: (key single-click) rating=1
82.0069 	DATA 	RatingScale RatingBlau: rating RT=2.985
82.0069 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (1, 2.985)]
82.0383 	EXP 	WebsiteImg: autoDraw = False
82.0383 	EXP 	Frage: autoDraw = False
82.0383 	EXP 	RatingBlau: autoDraw = False
82.0383 	EXP 	FixationCross: autoDraw = True
85.5224 	EXP 	New trial (rep=0, index=7): OrderedDict([('marker', 6), ('half', 'HI'), ('image', 'Stimuli/HI_jihye.png'), ('question', 'The shown influencer is a human.'), ('construct', 'human')])
85.6085 	EXP 	RatingScale RatingBlau: reset()
85.6886 	EXP 	FixationCross: autoDraw = False
85.6886 	EXP 	FixationCross: autoDraw = False
85.6886 	EXP 	WebsiteImg: image = 'Stimuli/HI_jihye.png'
85.6886 	EXP 	Frage: text = 'The shown influencer is a human.'
85.6886 	EXP 	WebsiteImg: autoDraw = True
87.6047 	EXP 	Frage: autoDraw = True
87.6215 	EXP 	RatingBlau: autoDraw = True
87.6882 	EXP 	WebsiteImg: autoDraw = False
91.4733 	DATA 	Keypress: n
91.4736 	DATA 	RatingScale RatingBlau: (key single-click) rating=4
91.4736 	DATA 	RatingScale RatingBlau: rating RT=3.868
91.4736 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (4, 3.868)]
91.5047 	EXP 	WebsiteImg: autoDraw = False
91.5047 	EXP 	Frage: autoDraw = False
91.5047 	EXP 	RatingBlau: autoDraw = False
91.5047 	EXP 	FixationCross: autoDraw = True
95.7389 	EXP 	New trial (rep=0, index=8): OrderedDict([('marker', 20), ('half', 'VI'), ('image', 'Stimuli/VI_soymar.ia.png'), ('question', 'The shown influencer is trustworthy.'), ('construct', 'trust')])
95.8080 	EXP 	RatingScale RatingBlau: reset()
95.8887 	EXP 	FixationCross: autoDraw = False
95.8887 	EXP 	FixationCross: autoDraw = False
95.8887 	EXP 	WebsiteImg: image = 'Stimuli/VI_soymar.ia.png'
95.8887 	EXP 	Frage: text = 'The shown influencer is trustworthy.'
95.8887 	EXP 	WebsiteImg: autoDraw = True
97.8046 	EXP 	Frage: autoDraw = True
97.8215 	EXP 	RatingBlau: autoDraw = True
97.8882 	EXP 	WebsiteImg: autoDraw = False
101.5882 	DATA 	Keypress: v
101.5900 	DATA 	RatingScale RatingBlau: (key single-click) rating=2
101.5901 	DATA 	RatingScale RatingBlau: rating RT=3.785
101.5901 	DATA 	RatingScale RatingBlau: history=[(3.0, 0.0), (2, 3.785)]
101.6214 	EXP 	WebsiteImg: autoDraw = False
101.6214 	EXP 	Frage: autoDraw = False
