marker,half,image,question,construct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,EndIntro.keys,EndIntro.rt,EndIntro.started,EndIntro.stopped,StartNachricht1.started,StartNachricht1.stopped,Start.keys,Start.rt,Start.started,Start.stopped,WebsiteImg.started,WebsiteImg.stopped,Frage.started,Frage.stopped,RatingBlau.response,RatingBlau.rt,RatingBlau.started,RatingBlau.stopped,FixationCross.started,FixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,['z'],[0.30040368251502514],28.42789174313657,None,,,,,,,,,,,,,,,,,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
,,,,,,,,,,,,,28.74458862794563,None,return,1.933694645529613,28.74458862794563,None,,,,,,,,,,,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
13,VI,Stimuli/VI_immagram.png,The shown influencer is a human.,human,0,0,0,72,,,,,,,,,,,31.077969546429813,33.094827624736354,33.044744862942025,None,1,4.152,2.0076859353575855,None,37.22780437185429,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
18,VI,Stimuli/VI_rozygram.png,I would follow brand recommendations from the shown influencer.,use,0,1,1,37,,,,,,,,,,,41.5945722151082,43.594647713704035,43.56131379818544,None,1,6.485,2.00358973024413,None,50.07787400344387,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
4,HI,Stimuli/HI_flaviapavanelli.png,The shown influencer is trustworthy.,trust,0,2,2,3,,,,,,,,,,,54.16142652207054,56.16114415391348,56.14465686283074,None,4,4.935,2.004896725760773,None,61.11104016005993,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
16,VI,Stimuli/VI_magazineluiza.png,The shown influencer is a human.,human,0,3,3,75,,,,,,,,,,,64.76119409035891,66.76102318870835,66.67807437805459,None,5,2.835,2.0127580603584647,None,69.5446825644467,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
19,VI,Stimuli/VI_shudu.gram.png,I perceived the influencer as eerie.,uncanny,0,4,4,58,,,,,,,,,,,73.62846730509773,75.62792435917072,75.61116475705057,None,3,4.718,2.004829748068005,None,80.36109149339609,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
12,VI,Stimuli/VI_iamxalara.png,The shown influencer is trustworthy.,trust,0,5,5,11,,,,,,,,,,,84.01125862356275,86.01118745538406,85.92803868930787,None,1,2.402,2.0146715715527534,None,88.36119842040353,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
12,VI,Stimuli/VI_iamxalara.png,The shown influencer is a human.,human,0,6,6,71,,,,,,,,,,,92.1942305515986,94.19469520566054,94.17791067017242,None,1,1.636,2.0067649660632014,None,95.84433119301684,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
8,HI,Stimuli/HI_rosesarerosie.png,I perceived the influencer as eerie.,uncanny,0,7,7,47,,,,,,,,,,,100.2611651760526,102.2610852078069,102.1612457728479,None,5,3.335,2.0079527706839144,None,105.52795313368551,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
8,HI,Stimuli/HI_rosesarerosie.png,The shown influencer is trustworthy.,trust,0,8,8,7,,,,,,,,,,,109.6112294299528,111.61123355058953,111.57783070183359,None,1,3.602,2.0042667435482144,None,115.21115071885288,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
9,HI,Stimuli/HI_simoneses.png,I would follow brand recommendations from the shown influencer.,use,0,9,9,28,,,,,,,,,,,118.87778362887911,120.87746850517578,120.79434956121258,None,3,3.202,2.00699924165383,None,124.02746166056022,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
8,HI,Stimuli/HI_rosesarerosie.png,The shown influencer is a human.,human,0,10,10,67,,,,,,,,,,,128.17764338757843,130.17756830831058,130.09445327543654,None,1,2.268,2.0147656337358057,None,132.3945041897241,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
15,VI,Stimuli/VI_lilmiquela.png,The shown influencer is a human.,human,0,11,11,74,,,,,,,,,,,136.79474430414848,138.7943573135417,138.6943966341205,None,1,1.485,2.006630521500483,None,140.21101376018487,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
10,HI,Stimuli/HI_sooyaaa__.png,The shown influencer is a human.,human,0,12,12,69,,,,,,,,,,,144.0611139824614,146.06097730295733,146.04424067866057,None,5,1.318,2.0146019535604864,None,147.39435738348402,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
5,HI,Stimuli/HI_imjennim.png,I perceived the influencer as eerie.,uncanny,0,13,13,44,,,,,,,,,,,151.04451669147238,153.04424410080537,152.9610660013277,None,2,3.219,2.0103742375504225,None,156.21088832523674,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
15,VI,Stimuli/VI_lilmiquela.png,I would follow brand recommendations from the shown influencer.,use,0,14,14,34,,,,,,,,,,,160.62784257507883,162.6275949177798,162.54434446268715,None,1,2.002,2.009518682025373,None,164.57767858775333,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
11,VI,Stimuli/VI_bermudaisbae.png,I would follow brand recommendations from the shown influencer.,use,0,15,15,30,,,,,,,,,,,168.91077616019174,170.91079201409593,170.87769569875672,None,1,1.602,1.9993382540997118,None,172.51088986173272,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
15,VI,Stimuli/VI_lilmiquela.png,I perceived the influencer as eerie.,uncanny,0,16,16,54,,,,,,,,,,,176.86084285844117,178.86085969023407,178.844201288186,None,5,1.785,2.0056965481489897,None,180.6607879633084,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
10,HI,Stimuli/HI_sooyaaa__.png,I would follow brand recommendations from the shown influencer.,use,0,17,17,29,,,,,,,,,,,184.2608038871549,186.26083391881548,186.24420680571347,None,2,6.385,2.0133388603571802,None,192.66077650920488,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
18,VI,Stimuli/VI_rozygram.png,The shown influencer is a human.,human,0,18,18,77,,,,,,,,,,,197.04447164363228,199.04414136428386,198.96085570938885,None,1,2.035,2.0010948318522424,None,201.0275569939986,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
18,VI,Stimuli/VI_rozygram.png,I perceived the influencer as eerie.,uncanny,0,19,19,57,,,,,,,,,,,205.36073865531944,207.36074913153425,207.3440667737741,None,5,2.336,2.0014918099623173,None,209.71103045227937,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
7,HI,Stimuli/HI_lamise.png,The shown influencer is a human.,human,0,20,20,66,,,,,,,,,,,214.11088972212747,216.11065477598459,216.0275866764132,None,5,1.585,2.0115857045166194,None,217.64407159294933,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
17,VI,Stimuli/VI_noonouri.png,I perceived the influencer as eerie.,uncanny,0,21,21,56,,,,,,,,,,,222.04415966267698,224.04407382779755,223.96071288385428,None,5,2.085,2.0040975878946483,None,226.07759128604084,None,P01,001,2022_May_30_1428,VirtualInfluencersEEG,3.2.4,59.92758384925225,
