marker,half,image,question,construct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,EndIntro.keys,EndIntro.rt,EndIntro.started,EndIntro.stopped,StartNachricht1.started,StartNachricht1.stopped,Start.keys,Start.rt,Start.started,Start.stopped,WebsiteImg.started,WebsiteImg.stopped,Frage.started,Frage.stopped,RatingBlau.response,RatingBlau.rt,RatingBlau.started,RatingBlau.stopped,FixationCross.started,FixationCross.stopped,participant,session,date,expName,psychopyVersion,frameRate,
14,VI,Stimuli/VI_leyalovenature.png,The shown influencer is trustworthy.,trust,0,18,18,13,,,,,,,,,,,194.30448129563592,196.30442088306881,196.20436780364253,None,1,3.685,2.0063526371959597,None,199.92124040890485,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
6,HI,Stimuli/HI_jihye.png,I perceived the influencer as eerie.,uncanny,0,19,19,45,,,,,,,,,,,203.4875767729245,205.48787862691097,205.47127986932173,None,2,4.602,2.005531988106668,None,210.10453521320596,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
15,VI,Stimuli/VI_lilmiquela.png,The shown influencer is trustworthy.,trust,0,20,20,14,,,,,,,,,,,213.7377447411418,215.73766868398525,215.65447151800618,None,1,3.052,2.0098713662009686,None,218.73770982050337,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
8,HI,Stimuli/HI_rosesarerosie.png,The shown influencer is trustworthy.,trust,0,21,21,7,,,,,,,,,,,222.38774495082907,224.38768698251806,224.30451377201825,None,2,3.318,2.015369900269434,None,227.65446446393616,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
12,VI,Stimuli/VI_iamxalara.png,The shown influencer is trustworthy.,trust,0,22,22,11,,,,,,,,,,,231.28780012531206,233.28766931267455,233.20439490210265,None,1,2.852,2.0117704067379236,None,236.08770695701241,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
11,VI,Stimuli/VI_bermudaisbae.png,The shown influencer is trustworthy.,trust,0,23,23,10,,,,,,,,,,,240.22117308201268,242.22085942467675,242.12101021199487,None,1,3.269,2.004718183306977,None,245.42091089789756,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
9,HI,Stimuli/HI_simoneses.png,I would follow brand recommendations from the shown influencer.,use,0,24,24,28,,,,,,,,,,,249.60441871802323,251.60438226070255,251.50440593692474,None,2,2.885,2.007721819449216,None,254.4208411963191,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
19,VI,Stimuli/VI_shudu.gram.png,The shown influencer is trustworthy.,trust,0,25,25,18,,,,,,,,,,,258.0544843687676,260.0543447560631,259.9708703898359,None,2,2.019,2.0143945668824017,None,262.0208668280393,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
14,VI,Stimuli/VI_leyalovenature.png,I would follow brand recommendations from the shown influencer.,use,0,26,26,33,,,,,,,,,,,266.1712568216026,268.1711714756675,268.0876296428032,None,2,5.918,2.0006831877399236,None,274.037668753881,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
16,VI,Stimuli/VI_magazineluiza.png,I perceived the influencer as eerie.,uncanny,0,27,27,55,,,,,,,,,,,277.7041237084195,279.7043786291033,279.62096292944625,None,2,4.118,2.012448593508452,None,283.77085132314824,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
19,VI,Stimuli/VI_shudu.gram.png,I perceived the influencer as eerie.,uncanny,0,28,28,58,,,,,,,,,,,287.5710394056514,289.5709266818594,289.5541020575911,None,3,5.485,2.007242805790156,None,295.07091955817305,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
11,VI,Stimuli/VI_bermudaisbae.png,I perceived the influencer as eerie.,uncanny,0,29,29,50,,,,,,,,,,,299.43734029028565,301.43747396650724,301.35411937814206,None,4,4.285,2.005334672285244,None,305.67087730416097,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
2,HI,Stimuli/HI_chiaraferragni.png,The shown influencer is trustworthy.,trust,0,30,30,1,,,,,,,,,,,309.5874336680863,311.5873942775652,311.4874169761315,None,2,4.635,1.999479836318642,None,316.1542961464729,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
6,HI,Stimuli/HI_jihye.png,I would follow brand recommendations from the shown influencer.,use,0,31,31,25,,,,,,,,,,,319.98722316650674,321.9873025759589,321.9708089295309,None,2,6.718,2.00177585426718,None,328.7208776534535,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
4,HI,Stimuli/HI_flaviapavanelli.png,I perceived the influencer as eerie.,uncanny,0,32,32,43,,,,,,,,,,,332.8875080491416,334.8873938585166,334.80418251478113,None,2,2.252,2.0123889490496367,None,337.08735258248635,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
1,HI,Stimuli/HI_adhel_bol.png,The shown influencer is trustworthy.,trust,0,33,33,0,,,,,,,,,,,340.7206183327362,342.7208282756619,342.63736515375786,None,3,3.969,2.0076532773673534,None,346.63735921727493,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
16,VI,Stimuli/VI_magazineluiza.png,I would follow brand recommendations from the shown influencer.,use,0,34,34,35,,,,,,,,,,,351.0541448004078,353.05403207661584,352.9705503771547,None,2,3.452,2.0007049918640405,None,356.454063086072,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
5,HI,Stimuli/HI_imjennim.png,I perceived the influencer as eerie.,uncanny,0,35,35,44,,,,,,,,,,,360.60417490196414,362.60407635592856,362.50407656561583,None,3,3.435,2.002858254360035,None,365.97061945009045,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
3,HI,Stimuli/HI_emilycanham.png,I perceived the influencer as eerie.,uncanny,0,36,36,42,,,,,,,,,,,369.6039047560189,371.6040697209537,371.5040606416296,None,2,6.302,2.0088810729794204,None,377.83740433491766,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
15,VI,Stimuli/VI_lilmiquela.png,The shown influencer is a human.,human,0,37,37,74,,,,,,,,,,,381.95386983524077,383.95388960046694,383.9372546649538,None,1,2.918,2.011594113195315,None,386.88717735069804,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
2,HI,Stimuli/HI_chiaraferragni.png,The shown influencer is a human.,human,0,38,38,61,,,,,,,,,,,391.0206840534229,393.0205307516735,392.9372993633151,None,4,2.152,2.0100123619195074,None,395.1205175516661,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
16,VI,Stimuli/VI_magazineluiza.png,The shown influencer is trustworthy.,trust,0,39,39,15,,,,,,,,,,,398.770767304115,400.7705323579721,400.6706098120194,None,2,2.402,2.0076278548222035,None,403.10377932107076,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
13,VI,Stimuli/VI_immagram.png,I would follow brand recommendations from the shown influencer.,use,0,40,40,32,,,,,,,,,,,407.5207066820003,409.52057440252975,409.42052767868154,None,2,4.118,2.0134679267648607,None,413.57048500562087,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
4,HI,Stimuli/HI_flaviapavanelli.png,I would follow brand recommendations from the shown influencer.,use,0,41,41,23,,,,,,,,,,,417.1369773251936,419.1369447791949,419.103942330461,None,2,5.418,2.0032529833260924,None,424.55384657811373,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
6,HI,Stimuli/HI_jihye.png,The shown influencer is trustworthy.,trust,0,42,42,5,,,,,,,,,,,428.43718636012636,430.437003236264,430.3369863347616,None,2,5.802,1.9994966539088637,None,436.1705808977131,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
11,VI,Stimuli/VI_bermudaisbae.png,I would follow brand recommendations from the shown influencer.,use,0,43,43,30,,,,,,,,,,,440.07026277063414,442.07028742460534,441.9870819475036,None,1,5.718,2.0135217048227787,None,447.7370197887067,None,P00,001,2022_May_26_1204,VirtualInfluencersEEG,3.2.4,59.937944594223225,
